period,domain,diagnostic,value,units,classification,description
Jun_2026,western_moisture_entry,vp200,8518172.156194456,m**2 s**-1,not_classified,200 hPa velocity potential
Jun_2026,western_moisture_entry,strf200,-22467397.395941578,m**2 s**-1,not_classified,200 hPa stream function
Jun_2026,western_moisture_entry,z200,12432.568116696917,gpm,not_classified,200 hPa geopotential height
Jun_2026,western_moisture_entry,z500,5881.128116756667,gpm,not_classified,500 hPa geopotential height
Jun_2026,western_moisture_entry,sst_proxy,,K,not_classified,Sea surface temperature or near-surface ocean temperature proxy
Jun_2026,western_indian_ocean,u200,-12.00392371262449,m s**-1,easterly_flow,200 hPa zonal wind
Jun_2026,western_indian_ocean,v200,-3.5945929469204754,m s**-1,not_classified,200 hPa meridional wind
Jun_2026,western_indian_ocean,tej_strength,12.00392371262449,m s**-1,moderate_tej,TEJ strength proxy: -u200. Larger positive values indicate stronger easterly flow.
Jun_2026,western_indian_ocean,div200,-2.514720893629557e-08,s-1,convergence,200 hPa horizontal divergence computed from CFSv2 u200 and v200.
Jun_2026,western_indian_ocean,u850,2.6038946580602556,m s**-1,not_classified,850 hPa zonal wind
Jun_2026,western_indian_ocean,v850,5.603359197886483,m s**-1,not_classified,850 hPa meridional wind
Jun_2026,western_indian_ocean,q850,0.00932862687328509,kg kg**-1,not_classified,850 hPa specific humidity
Jun_2026,western_indian_ocean,wind_speed850,9.720277695333607,m s**-1,not_classified,850 hPa wind speed.
Jun_2026,western_indian_ocean,qu850,0.029743706776290044,kg kg-1 m s-1,not_classified,850 hPa zonal moisture flux proxy: q850 * u850.
Jun_2026,western_indian_ocean,qv850,0.052773320884142154,kg kg-1 m s-1,not_classified,850 hPa meridional moisture flux proxy: q850 * v850.
Jun_2026,western_indian_ocean,mfc850,-1.4917133928873032e-08,kg kg-1 s-1 approximately,moisture_divergence,"850 hPa moisture-flux convergence proxy: -div(q850*u850, q850*v850)."
Jun_2026,western_indian_ocean,omega500,0.01625185111790974,Pa s**-1,subsidence_tendency,500 hPa vertical velocity / omega
Jun_2026,western_indian_ocean,omega700,0.017921773602895354,Pa s**-1,subsidence_tendency,700 hPa vertical velocity / omega
Jun_2026,western_indian_ocean,vp200,3736853.329453263,m**2 s**-1,not_classified,200 hPa velocity potential
Jun_2026,western_indian_ocean,strf200,-22476386.085697602,m**2 s**-1,not_classified,200 hPa stream function
Jun_2026,western_indian_ocean,z200,12427.443274105572,gpm,not_classified,200 hPa geopotential height
Jun_2026,western_indian_ocean,z500,5869.76711359716,gpm,not_classified,500 hPa geopotential height
Jun_2026,western_indian_ocean,sst_proxy,300.9573701539557,K,not_classified,Sea surface temperature or near-surface ocean temperature proxy
Jun_2026,arabia_red_sea,u200,-9.928838641096299,m s**-1,easterly_flow,200 hPa zonal wind
Jun_2026,arabia_red_sea,v200,1.7366519964594702,m s**-1,not_classified,200 hPa meridional wind
Jun_2026,arabia_red_sea,tej_strength,9.928838641096299,m s**-1,weak_tej,TEJ strength proxy: -u200. Larger positive values indicate stronger easterly flow.
Jun_2026,arabia_red_sea,div200,-3.5607250846514087e-07,s-1,convergence,200 hPa horizontal divergence computed from CFSv2 u200 and v200.
Jun_2026,arabia_red_sea,u850,3.7877110027748646,m s**-1,not_classified,850 hPa zonal wind
Jun_2026,arabia_red_sea,v850,-0.861019521364329,m s**-1,not_classified,850 hPa meridional wind
Jun_2026,arabia_red_sea,q850,0.005789628180265476,kg kg**-1,not_classified,850 hPa specific humidity
Jun_2026,arabia_red_sea,wind_speed850,6.040607922160716,m s**-1,not_classified,850 hPa wind speed.
Jun_2026,arabia_red_sea,qu850,0.029419753957410682,kg kg-1 m s-1,not_classified,850 hPa zonal moisture flux proxy: q850 * u850.
Jun_2026,arabia_red_sea,qv850,0.004105682661046447,kg kg-1 m s-1,not_classified,850 hPa meridional moisture flux proxy: q850 * v850.
Jun_2026,arabia_red_sea,mfc850,1.1645168913031488e-08,kg kg-1 s-1 approximately,moisture_convergence,"850 hPa moisture-flux convergence proxy: -div(q850*u850, q850*v850)."
Jun_2026,arabia_red_sea,omega500,0.005923323256062084,Pa s**-1,subsidence_tendency,500 hPa vertical velocity / omega
Jun_2026,arabia_red_sea,omega700,-0.025467031350008076,Pa s**-1,rising_motion_tendency,700 hPa vertical velocity / omega
Jun_2026,arabia_red_sea,vp200,2938948.2265993203,m**2 s**-1,not_classified,200 hPa velocity potential
Jun_2026,arabia_red_sea,strf200,-1106550.4023633362,m**2 s**-1,not_classified,200 hPa stream function
Jun_2026,arabia_red_sea,z200,12494.783327045683,gpm,not_classified,200 hPa geopotential height
Jun_2026,arabia_red_sea,z500,5890.854398674091,gpm,not_classified,500 hPa geopotential height
Jun_2026,arabia_red_sea,sst_proxy,301.48595952896926,K,not_classified,Sea surface temperature or near-surface ocean temperature proxy
Jun_2026,north_africa_arabia,u200,-1.6362579877316867,m s**-1,easterly_flow,200 hPa zonal wind
